GPS Time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler,Pos.X,Pos.Y,Pos.Z,Latitude,Longitude,Altitude
2024-04-13 16:51:36.417342720+00:00,G02,14573206.71411265,-5239567.640830624,22040175.96184369,22948159.07468715,43.0,-505.6047058105469,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G03,23187580.558564212,-12122987.558775622,4011162.6919710715,24058778.322330758,42.0,-504.386474609375,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G08,24906736.30404856,4694270.572758321,8528081.895445963,21133596.263502687,47.8,165.79957580566406,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G10,-1329165.0720265834,17148086.34156501,20352420.163985148,22788507.905097716,39.0,355.62664794921875,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G21,15699708.620245434,1536361.2559223366,21913664.42634119,21707764.477237504,44.3,-348.5203857421875,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G27,23150795.05425613,13293206.07379138,-2593025.988618102,22142539.095252085,45.2,533.8138427734375,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G28,5200268.047928143,25758890.151180234,-3885488.7660888904,23880923.43459964,35.5,-510.6150207519531,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:36.417342720+00:00,G32,8094502.459394407,17964729.605067823,18113974.760810208,21445038.954810735,45.6,236.67388916015625,4436876.524074273,3085278.6874412294,3376310.7016534866,32.16879873391326,34.813661167085144,38.13702099211514
2024-04-13 16:51:37.417342976+00:00,G02,14573637.157755837,-5236917.872893741,22040556.11196385,22947653.92578402,45.2,-505.4778747558594,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G03,23187259.053250164,-12122514.97754027,4014342.794508614,24058272.54521979,43.4,-504.374755859375,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G08,24907621.621711712,4694947.489705142,8525202.036002519,21133762.354675133,49.8,165.98670959472656,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G10,-1331334.3680131258,17149413.627291784,20351116.047403943,22788861.970015652,41.7,355.7349548339844,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G21,15700126.351931373,1538993.6651881896,21913269.6990149,21707414.914475743,46.7,-348.3982849121094,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G27,23150430.25081132,13293291.289165769,-2596155.0586444973,22143068.81406179,47.7,533.9739990234375,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G28,5200041.630917072,25759405.581586618,-3882362.5798162287,23880422.194545288,37.8,-510.6340637207031,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:37.417342976+00:00,G32,8092415.256527005,17963876.506956242,18115754.467669804,21445273.101832367,46.8,236.8504180908203,4436882.867613476,3085280.2997650467,3376315.863788752,32.168808713925614,34.81363680491583,46.073195778764784
2024-04-13 16:51:38.417342976+00:00,G02,14574067.76820618,-5234268.088813115,22040935.8126152,22947148.183573492,43.0,-506.27142333984375,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
2024-04-13 16:51:38.417342976+00:00,G03,23186937.24185885,-12122042.15333005,4017522.810753316,24057767.396316662,42.4,-505.0639343261719,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
2024-04-13 16:51:38.417342976+00:00,G08,24908506.65134796,4695624.204662176,8522321.99879082,21133925.130306207,48.0,165.32833862304688,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
2024-04-13 16:51:38.417342976+00:00,G10,-1333503.4494755473,17150740.95935104,20349811.50206375,22789213.626803543,39.7,354.9705505371094,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
2024-04-13 16:51:38.417342976+00:00,G21,15700544.23317017,1541625.9905167348,21912874.527986936,21707068.66725535,44.7,-349.1448974609375,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
2024-04-13 16:51:38.417342976+00:00,G27,23150065.104609914,13293376.353816982,-2599284.0749783744,22143602.75582419,45.5,533.2472534179688,4436875.160833208,3085279.1697089244,3376308.2712946893,32.16878423357212,34.81367361654554,36.12870711367577
